x1, x2, x3, a, x11, x12, x13, r, d
-0.76639855,0.6423654,-6.9640245,-1.0656333,-0.5150885,0.857137,-6.642095,0,0
-0.5150885,0.857137,-6.642095,0.26086786,-0.24071774,0.9705952,-5.9601126,0,0
-0.24071774,0.9705952,-5.9601126,1.6646216,0.0060183336,0.9999819,-4.982473,0,0
0.0060183336,0.9999819,-4.982473,-1.3246831,0.22561845,0.97421575,-4.4311886,0,0
0.22561845,0.97421575,-4.4311886,-1.0069491,0.40790313,0.9130252,-3.8515694,0,0
0.40790313,0.9130252,-3.8515694,0.08455229,0.5462345,0.8376323,-3.1541176,0,0
0.5462345,0.8376323,-3.1541176,0.008158353,0.64734477,0.7621973,-2.5246696,0,0
0.64734477,0.7621973,-2.5246696,0.99014443,0.71338767,0.70076954,-1.8045,0,0
0.71338767,0.70076954,-1.8045,-0.28137553,0.7580885,0.65215164,-1.3211292,0,0
0.7580885,0.65215164,-1.3211292,1.4243618,0.7778863,0.6284051,-0.6183611,0,0
0.7778863,0.6284051,-0.6183611,0.43288767,0.78046006,0.62520564,-0.08212419,0,0
0.78046006,0.62520564,-0.08212419,1.3620309,0.7616445,0.6479951,0.59108466,0,0
0.7616445,0.6479951,0.59108466,-1.5396469,0.7335566,0.6796284,0.84613395,0,0
0.7335566,0.6796284,0.84613395,-1.0546464,0.69156796,0.72231144,1.1976583,0,0
0.69156796,0.72231144,1.1976583,1.7148436,0.61613536,0.7876403,1.9966184,0,0
0.61613536,0.7876403,1.9966184,1.2515671,0.50127566,0.86528766,2.7750838,0,0
0.50127566,0.86528766,2.7750838,-1.5442343,0.3573712,0.9339624,3.1924143,0,0
0.3573712,0.9339624,3.1924143,-0.78749675,0.17579533,0.98442674,3.7747617,0,0
0.17579533,0.98442674,3.7747617,-0.4479589,-0.045564987,0.9989614,4.445888,0,0
-0.045564987,0.9989614,4.445888,-1.1782576,-0.29217404,0.95636517,5.01837,0,0
-0.29217404,0.95636517,5.01837,-0.14991249,-0.54982704,0.8352785,5.713157,0,0
-0.54982704,0.8352785,5.713157,-0.47839198,-0.780553,0.6250896,6.2678576,0,0
-0.780553,0.6250896,6.2678576,-0.48113793,-0.9420787,0.33539185,6.664504,0,0
-0.9420787,0.33539185,6.664504,0.67710155,-0.9999608,-0.008859403,7.017613,0,0
-0.9999608,-0.008859403,7.017613,1.3652868,-0.9324547,-0.36128685,7.215761,0,0
-0.9324547,-0.36128685,7.215761,0.8610101,-0.7495959,-0.66189575,7.073948,0,0
-0.7495959,-0.66189575,7.073948,-0.14375408,-0.49657914,-0.86799145,6.555963,0,0
-0.49657914,-0.86799145,6.555963,1.5507576,-0.21117221,-0.9774489,6.137583,0,0
-0.21117221,-0.9774489,6.137583,0.7447344,0.062994525,-0.99801385,5.5162063,0,0
0.062994525,-0.99801385,5.5162063,0.21216962,0.29839665,-0.95444196,4.7995214,0,0
0.29839665,-0.95444196,4.7995214,0.4644677,0.4887709,-0.8724122,4.1533604,0,0
0.4887709,-0.8724122,4.1533604,1.9475824,0.6444011,-0.7646877,3.7911885,0,0
0.6444011,-0.7646877,3.7911885,-0.82252467,0.75454104,-0.65625286,3.0942938,0,0
0.75454104,-0.65625286,3.0942938,-1.5800586,0.8266956,-0.56264937,2.3650954,0,0
0.8266956,-0.56264937,2.3650954,0.76016265,0.88009673,-0.47479445,2.057133,0,0
0.88009673,-0.47479445,2.057133,1.3975414,0.92137337,-0.38867864,1.9106683,0,0
0.92137337,-0.38867864,1.9106683,1.7407312,0.9537918,-0.3004683,1.8802689,0,0
0.9537918,-0.3004683,1.8802689,1.3977535,0.9776216,-0.21037112,1.8645808,0,0
0.9776216,-0.21037112,1.8645808,0.5953212,0.992549,-0.121846,1.7961006,0,0
0.992549,-0.121846,1.7961006,0.61110234,0.99947745,-0.03232482,1.7963815,0,0
0.99947745,-0.03232482,1.7963815,0.009599379,0.99841285,0.05631862,1.7735777,0,0
0.99841285,0.05631862,1.7735777,1.2849278,0.98773575,0.15613478,2.008556,0,0
0.98773575,0.15613478,2.008556,1.3561535,0.9629043,0.26984322,2.3290799,0,0
0.9629043,0.26984322,2.3290799,-0.8040326,0.923468,0.3836755,2.4108574,0,0
0.923468,0.3836755,2.4108574,-0.35367766,0.8647966,0.5021224,2.6455624,0,0
0.8647966,0.5021224,2.6455624,1.6281705,0.77164674,0.63605136,3.2663798,0,0
0.77164674,0.63605136,3.2663798,1.5390065,0.63089997,0.7758642,3.9742694,0,0
0.63089997,0.7758642,3.9742694,-1.8055947,0.45150045,0.89227086,4.2853284,0,0
0.45150045,0.89227086,4.2853284,1.7285787,0.20626402,0.9784964,5.213818,0,0
0.20626402,0.9784964,5.213818,0.60516125,-0.094028786,0.99556947,6.0384645,0,0
-0.094028786,0.99556947,6.0384645,-0.65694237,-0.415505,0.9095909,6.6866,0,0
-0.415505,0.9095909,6.6866,0.38724336,-0.71724594,0.6968201,7.42688,0,0
-0.71724594,0.6968201,7.42688,-0.9760941,-0.9283675,0.3716636,7.803081,0,0
-0.9283675,0.3716636,7.803081,1.83169,-0.9998157,-0.01919847,8.0,0,0
