x1,x2_1,x2_2,y1_1,y1_2,y2,a1,a2,x11,x12_1,x12_2,y11_1,y11_2,y12,r,d
-0.058136735,-0.27504373,-0.27504373,0.99975777,-0.022010602,0.8348144,1.0,0.0,-0.06913848,-0.37245092,-0.37245092,0.9999859,-0.005316066,1.1204941,0.0,0.0
-0.06913848,-0.37245092,-0.37245092,0.9999859,-0.005316066,1.1204941,0.0,1.0,-0.08403652,-0.2748553,-0.2748553,0.9998539,0.01709296,0.82614845,0.0,0.0
-0.08403652,-0.2748553,-0.2748553,0.9998539,0.01709296,0.82614845,0.0,1.0,-0.09503073,-0.17741325,-0.17741325,0.999435,0.03361043,0.5388904,0.0,0.0
-0.09503073,-0.17741325,-0.17741325,0.999435,0.03361043,0.5388904,1.0,0.0,-0.10212727,-0.27520227,-0.27520227,0.99901474,0.044379987,0.8419731,0.0,0.0
-0.10212727,-0.27520227,-0.27520227,0.99901474,0.044379987,0.8419731,1.0,0.0,-0.11313535,-0.37305173,-0.37305173,0.9981258,0.061195772,1.14828,0.0,0.0
-0.11313535,-0.37305173,-0.37305173,0.9981258,0.061195772,1.14828,0.0,1.0,-0.12805742,-0.275916,-0.275916,0.9964573,0.08410018,0.87541056,0.0,0.0
-0.12805742,-0.275916,-0.275916,0.9964573,0.08410018,0.87541056,0.0,1.0,-0.13909407,-0.17897467,-0.17897467,0.9948322,0.10153258,0.6103423,0.0,0.0
-0.13909407,-0.17897467,-0.17897467,0.9948322,0.10153258,0.6103423,1.0,0.0,-0.14625305,-0.27716744,-0.27716744,0.9935187,0.11366848,0.9332489,0.0,0.0
-0.14625305,-0.27716744,-0.27716744,0.9935187,0.11366848,0.9332489,1.0,0.0,-0.15733975,-0.37539706,-0.37539706,0.99122417,0.13219161,1.2594463,0.0,0.0
-0.15733975,-0.37539706,-0.37539706,0.99122417,0.13219161,1.2594463,1.0,0.0,-0.17235564,-0.47366968,-0.47366968,0.9875803,0.15711491,1.5905412,0.0,0.0
-0.17235564,-0.47366968,-0.47366968,0.9875803,0.15711491,1.5905412,1.0,0.0,-0.19130242,-0.57197183,-0.57197183,0.98208356,0.18844587,1.9279768,0.0,0.0
-0.19130242,-0.57197183,-0.57197183,0.98208356,0.18844587,1.9279768,1.0,0.0,-0.21418129,-0.6702628,-0.6702628,0.97408897,0.2261651,2.2729697,0.0,1.0
0.039517872,-0.018382503,-0.018382503,0.99999666,-0.00258553,0.025593499,1.0,0.0,0.03878257,-0.115924895,-0.115924895,0.99999785,-0.0020736614,0.31745955,1.0,0.0
0.03878257,-0.115924895,-0.115924895,0.99999785,-0.0020736614,0.31745955,1.0,0.0,0.034145575,-0.21347107,-0.21347107,0.9999909,0.0042755147,0.6094878,0.0,0.0
0.034145575,-0.21347107,-0.21347107,0.9999909,0.0042755147,0.6094878,0.0,1.0,0.025606733,-0.11594011,-0.11594011,0.99986446,0.016464539,0.31815457,0.0,0.0
0.025606733,-0.11594011,-0.11594011,0.99986446,0.016464539,0.31815457,0.0,1.0,0.02096913,-0.018498298,-0.018498298,0.99973947,0.022826392,0.03070935,0.0,0.0
0.02096913,-0.018498298,-0.018498298,0.99973947,0.022826392,0.03070935,1.0,0.0,0.020229198,-0.11621918,-0.11621918,0.9997252,0.023440415,0.33050656,0.0,0.0
0.020229198,-0.11621918,-0.11621918,0.9997252,0.023440415,0.33050656,1.0,0.0,0.015580431,-0.21394302,-0.21394302,0.99954844,0.03004817,0.630489,0.0,0.0
0.015580431,-0.21394302,-0.21394302,0.99954844,0.03004817,0.630489,1.0,0.0,0.0070227096,-0.31170708,-0.31170708,0.9990901,0.042649534,0.9324829,0.0,0.0
0.0070227096,-0.31170708,-0.31170708,0.9990901,0.042649534,0.9324829,1.0,0.0,-0.005445573,-0.4095425,-0.4095425,0.998121,0.061273724,1.2382611,0.0,0.0
-0.005445573,-0.4095425,-0.4095425,0.998121,0.061273724,1.2382611,1.0,0.0,-0.021827273,-0.5074693,-0.5074693,0.99629766,0.085971095,1.5495039,0.0,0.0
-0.021827273,-0.5074693,-0.5074693,0.99629766,0.085971095,1.5495039,1.0,0.0,-0.042126045,-0.60549074,-0.60549074,0.9931554,0.11680022,1.867755,0.0,0.0
-0.042126045,-0.60549074,-0.60549074,0.9931554,0.11680022,1.867755,1.0,0.0,-0.06634568,-0.7035869,-0.7035869,0.9881005,0.15380953,2.1943684,0.0,0.0
