x1,x2,a,x11,x12,r,d
-0.56005466,-0.015479129,0,-0.5762609,-0.016206253,0,0
-0.5762609,-0.016206253,2,-0.5910739,-0.01481293,0,0
-0.5910739,-0.01481293,2,-0.6043842,-0.013310315,0,0
-0.6043842,-0.013310315,2,-0.61609447,-0.011710338,0,0
-0.61609447,-0.011710338,0,-0.62812,-0.0120254895,0,0
-0.62812,-0.0120254895,0,-0.64037436,-0.012254363,0,0
-0.64037436,-0.012254363,1,-0.6517707,-0.011396351,0,0
-0.6517707,-0.011396351,1,-0.6622293,-0.010458576,0,0
-0.6622293,-0.010458576,2,-0.67067784,-0.008448562,0,0
-0.67067784,-0.008448562,2,-0.67705876,-0.006380915,0,0
-0.67705876,-0.006380915,2,-0.68132895,-0.004270194,0,0
-0.68132895,-0.004270194,0,-0.6854598,-0.004130873,0,0
-0.6854598,-0.004130873,1,-0.6884239,-0.0029640624,0,0
-0.6884239,-0.0029640624,1,-0.6902015,-0.0017776376,0,0
-0.6902015,-0.0017776376,1,-0.690781,-0.0005794946,0,0
-0.690781,-0.0005794946,1,-0.69015855,0.00062246126,0,0
-0.69015855,0.00062246126,1,-0.6883382,0.0018203214,0,0
-0.6883382,0.0018203214,0,-0.68633205,0.0020061808,0,0
-0.68633205,0.0020061808,1,-0.6831533,0.0031787727,0,0
-0.6831533,0.0031787727,0,-0.67982304,0.0033302559,0,0
-0.67982304,0.0033302559,1,-0.6753635,0.0044595124,0,0
-0.6753635,0.0044595124,2,-0.6688047,0.0065588285,0,0
-0.6688047,0.0065588285,2,-0.66019094,0.008613755,0,0
-0.66019094,0.008613755,2,-0.64958113,0.010609766,0,0
-0.64958113,0.010609766,2,-0.63704884,0.012532298,0,0
-0.63704884,0.012532298,1,-0.623682,0.013366842,0,0
-0.623682,0.013366842,1,-0.6095758,0.014106239,0,0
-0.6095758,0.014106239,0,-0.5958318,0.013743941,0,0
-0.5958318,0.013743941,1,-0.58155036,0.014281458,0,0
-0.58155036,0.014281458,1,-0.5668365,0.0147139095,0,0
-0.5668365,0.0147139095,0,-0.55279917,0.014037283,0,0
-0.55279917,0.014037283,0,-0.5395432,0.013256006,0,0
-0.5395432,0.013256006,2,-0.52516764,0.014375544,0,0
-0.52516764,0.014375544,0,-0.5117803,0.01338731,0,0
-0.5117803,0.01338731,1,-0.49848163,0.01329869,0,0
-0.49848163,0.01329869,1,-0.48537114,0.0131104905,0,0
-0.48537114,0.0131104905,2,-0.47154674,0.013824411,0,0
-0.47154674,0.013824411,2,-0.45711112,0.014435605,0,0
-0.45711112,0.014435605,2,-0.4421709,0.014940248,0,0
-0.4421709,0.014940248,1,-0.4278353,0.014335595,0,0
-0.4278353,0.014335595,2,-0.41320807,0.014627208,0,0
-0.41320807,0.014627208,2,-0.39839375,0.014814328,0,0
-0.39839375,0.014814328,1,-0.38449654,0.013897217,0,0
-0.38449654,0.013897217,0,-0.37261257,0.011883968,0,0
-0.37261257,0.011883968,0,-0.36282268,0.009789898,0,0
-0.36282268,0.009789898,0,-0.3551924,0.00763029,0,0
