x1,x2,x3,x4,a1,a2,x11,x12,x13,x14,d,r
0.7503006,-0.3305484,-0.3305484,-2.3919775,-0.8617809,-0.8617809,0.65716654,-0.37687272,-0.37687272,-2.629266,0.0,0.0
0.65716654,-0.37687272,-0.37687272,-2.629266,0.7381859,0.7381859,0.51948816,-0.42723882,-0.42723882,-3.4160306,0.0,0.0
0.51948816,-0.42723882,-0.42723882,-3.4160306,-0.903235,-0.903235,0.34942365,-0.468482435,-0.468482435,-3.7859185,0.0,0.0
0.34942365,-0.468482435,-0.468482435,-3.7859185,0.8493753,0.8493753,0.11949694,-0.496417285,-0.496417285,-4.743455,0.0,0.0
0.11949694,-0.496417285,-0.496417285,-4.743455,0.137325285,0.137325285,-0.15604046,-0.493875325,-0.493875325,-5.5292783,0.0,0.0
-0.15604046,-0.493875325,-0.493875325,-5.5292783,-0.8739661,-0.8739661,-0.441326,-0.448673425,-0.448673425,-6.007901,0.0,0.0
-0.441326,-0.448673425,-0.448673425,-6.007901,0.7360812,0.7360812,-0.7188611,-0.34757685,-0.34757685,-6.901736,0.0,0.0
-0.7188611,-0.34757685,-0.34757685,-6.901736,-0.85981025,-0.85981025,-0.91697097,-0.199476985,-0.199476985,-7.1651583,0.0,0.0
-0.91697097,-0.199476985,-0.199476985,-7.1651583,0.81230275,0.81230275,-0.9996882,-0.012485002,-0.012485002,-7.7080646,0.0,0.0
-0.9996882,-0.012485002,-0.012485002,-7.7080646,-0.7991695,-0.7991695,-0.9395853,0.1711574,0.1711574,-7.487041,0.0,0.0
-0.9395853,0.1711574,0.1711574,-7.487041,-0.887602,-0.887602,-0.76639855,0.3211827,0.3211827,-6.9640245,0.0,0.0
-0.76639855,0.3211827,0.3211827,-6.9640245,0.53281665,0.53281665,-0.5150885,0.4285685,0.4285685,-6.642095,0.0,0.0
-0.5150885,0.4285685,0.4285685,-6.642095,-0.13043393,-0.13043393,-0.24071774,0.4852976,0.4852976,-5.9601126,0.0,0.0
-0.24071774,0.4852976,0.4852976,-5.9601126,-0.8323108,-0.8323108,0.0060183336,0.49999095,0.49999095,-4.982473,0.0,0.0
0.0060183336,0.49999095,0.49999095,-4.982473,0.66234155,0.66234155,0.22561845,0.487107875,0.487107875,-4.4311886,0.0,0.0
0.22561845,0.487107875,0.487107875,-4.4311886,0.50347455,0.50347455,0.40790313,0.4565126,0.4565126,-3.8515694,0.0,0.0
0.40790313,0.4565126,0.4565126,-3.8515694,-0.042276145,-0.042276145,0.5462345,0.41881615,0.41881615,-3.1541176,0.0,0.0
0.5462345,0.41881615,0.41881615,-3.1541176,-0.0040791765,-0.0040791765,0.64734477,0.38109865,0.38109865,-2.5246696,0.0,0.0
0.64734477,0.38109865,0.38109865,-2.5246696,-0.495072215,-0.495072215,0.71338767,0.35038477,0.35038477,-1.8045,0.0,0.0
0.71338767,0.35038477,0.35038477,-1.8045,0.140687765,0.140687765,0.7580885,0.32607582,0.32607582,-1.3211292,0.0,0.0
0.7580885,0.32607582,0.32607582,-1.3211292,-0.7121809,-0.7121809,0.7778863,0.31420255,0.31420255,-0.6183611,0.0,0.0
0.7778863,0.31420255,0.31420255,-0.6183611,-0.216443835,-0.216443835,0.78046006,0.31260282,0.31260282,-0.08212419,0.0,0.0
0.78046006,0.31260282,0.31260282,-0.08212419,-0.68101545,-0.68101545,0.7616445,0.32399755,0.32399755,0.59108466,0.0,0.0
0.7616445,0.32399755,0.32399755,0.59108466,0.76982345,0.76982345,0.7335566,0.3398142,0.3398142,0.84613395,0.0,0.0
