x1,x1_,x2,x3,x4,a1,a2,x11,x11_,x12,x13,x14,r,d
-0.4662661,-0.4662661,-0.18054341,-0.18054341,1.3201481,-0.8069008,-0.8069008,-0.4536448,-0.4536448,-0.21025312,-0.21025312,1.2914033,0.0,0.0
-0.4536448,-0.4536448,-0.21025312,-0.21025312,1.2914033,-0.6092863,-0.6092863,-0.44070822,-0.44070822,-0.23617,-0.23617,1.1588095,0.0,0.0
-0.44070822,-0.44070822,-0.23617,-0.23617,1.1588095,-0.29479615,-0.29479615,-0.429727585,-0.429727585,-0.25560555,-0.25560555,0.89299333,0.0,0.0
-0.429727585,-0.429727585,-0.25560555,-0.25560555,0.89299333,0.364664735,0.364664735,-0.42452745,-0.42452745,-0.26415235,-0.26415235,0.40018559,0.0,0.0
-0.42452745,-0.42452745,-0.26415235,-0.26415235,0.40018559,-0.230463075,-0.230463075,-0.42355915,-0.42355915,-0.26570215,-0.26570215,0.07309597,0.0,0.0
-0.42355915,-0.42355915,-0.26570215,-0.26570215,0.07309597,0.37126015,0.37126015,-0.4292611,-0.4292611,-0.256388215,-0.256388215,-0.4368353,0.0,0.0
-0.4292611,-0.4292611,-0.256388215,-0.256388215,-0.4368353,-0.457561015,-0.457561015,-0.43777862,-0.43777862,-0.241557165,-0.241557165,-0.6841493,0.0,0.0
-0.43777862,-0.43777862,-0.241557165,-0.241557165,-0.6841493,0.217734335,0.217734335,-0.4505237,-0.4505237,-0.216860325,-0.216860325,-1.1118054,0.0,0.0
-0.4505237,-0.4505237,-0.216860325,-0.216860325,-1.1118054,0.6025315,0.6025315,-0.466573775,-0.466573775,-0.1797468,-0.1797468,-1.6178553,0.0,0.0
-0.466573775,-0.466573775,-0.1797468,-0.1797468,-1.6178553,-0.58243785,-0.58243785,-0.48023817,-0.48023817,-0.13918085,-0.13918085,-1.7127442,0.0,0.0
-0.48023817,-0.48023817,-0.13918085,-0.13918085,-1.7127442,-0.4179132,-0.4179132,-0.49078545,-0.49078545,-0.09554912,-0.09554912,-1.7961415,0.0,0.0
-0.49078545,-0.49078545,-0.09554912,-0.09554912,-1.7961415,0.26916905,0.26916905,-0.497918875,-0.497918875,-0.04557172,-0.04557172,-2.020216,0.0,0.0
-0.497918875,-0.497918875,-0.04557172,-0.04557172,-2.020216,-0.2265912,-0.2265912,-0.4999762,-0.4999762,0.0048797765,0.0048797765,-2.020596,0.0,0.0
-0.4999762,-0.4999762,0.0048797765,0.0048797765,-2.020596,0.299839885,0.299839885,-0.496701925,-0.496701925,0.05733417,0.05733417,-2.1032283,0.0,0.0
-0.496701925,-0.496701925,0.05733417,0.05733417,-2.1032283,-0.11417112,-0.11417112,-0.4885872,-0.4885872,0.106219335,0.106219335,-1.9829758,0.0,0.0
-0.4885872,-0.4885872,0.106219335,0.106219335,-1.9829758,0.9487618,0.9487618,-0.47469885,-0.47469885,0.15703821,0.15703821,-2.1082754,0.0,0.0
-0.47469885,-0.47469885,0.15703821,0.15703821,-2.1082754,0.44754815,0.44754815,-0.45657855,-0.45657855,0.2038039,0.2038039,-2.0069826,0.0,0.0
-0.45657855,-0.45657855,0.2038039,0.2038039,-2.0069826,-0.10221138,-0.10221138,-0.43798253,-0.43798253,0.241187275,0.241187275,-1.6706133,0.0,0.0
-0.43798253,-0.43798253,0.241187275,0.241187275,-1.6706133,-0.9118619,-0.9118619,-0.4249167,-0.4249167,0.2635257,0.2635257,-1.0352738,0.0,0.0
-0.4249167,-0.4249167,0.2635257,0.2635257,-1.0352738,-0.73154165,-0.73154165,-0.41928225,-0.41928225,0.272401125,0.272401125,-0.42052275,0.0,0.0
-0.41928225,-0.41928225,0.272401125,0.272401125,-0.42052275,0.44650695,0.44650695,-0.41728435,-0.41728435,0.27545195,0.27545195,-0.14587313,0.0,0.0
-0.41728435,-0.41728435,0.27545195,0.27545195,-0.14587313,0.9310657,0.9310657,-0.4171188,-0.4171188,0.2757026,0.2757026,-0.0120148845,0.0,0.0
-0.4171188,-0.4171188,0.2757026,0.2757026,-0.0120148845,0.505078,0.505078,-0.4205326,-0.4205326,0.27046685,0.27046685,0.25001562,0.0,0.0
