x1,x2_1,x2_2,y1_1,y1_2,y2,a1,a2,x11,x12_1,x12_2,y11_1,y11_2,y12,r,d
-0.04446504,-0.109591395,-0.109591395,0.99997044,-0.0076855468,0.25773272,0.0,1.0,-0.048848696,-0.011975979,-0.011975979,0.9999968,-0.0025309653,-0.037364416,0.0,0.0
-0.048848696,-0.011975979,-0.011975979,0.9999968,-0.0025309653,-0.037364416,0.0,1.0,-0.049327735,0.085603096,0.085603096,0.99999464,-0.0032782503,-0.33084482,0.0,0.0
-0.049327735,0.085603096,0.085603096,0.99999464,-0.0032782503,-0.33084482,1.0,0.0,-0.045903612,-0.011934469,-0.011934469,0.99995106,-0.009894991,-0.03919749,0.0,0.0
-0.045903612,-0.011934469,-0.011934469,0.99995106,-0.009894991,-0.03919749,0.0,1.0,-0.04638099,0.08569675,0.08569675,0.99994296,-0.0106788995,-0.33498594,0.0,0.0
-0.04638099,0.08569675,0.08569675,0.99994296,-0.0106788995,-0.33498594,1.0,0.0,-0.04295312,-0.011787426,-0.011787426,0.999849,-0.017377947,-0.045689683,0.0,0.0
-0.04295312,-0.011787426,-0.011787426,0.999849,-0.017377947,-0.045689683,0.0,1.0,-0.043424617,0.08589597,0.08589597,0.9998327,-0.018291594,-0.34380472,0.0,0.0
-0.043424617,0.08589597,0.08589597,0.9998327,-0.018291594,-0.34380472,1.0,0.0,-0.03998878,-0.011532535,-0.011532535,0.99968326,-0.025166051,-0.056945845,0.0,0.0
-0.03998878,-0.011532535,-0.011532535,0.99968326,-0.025166051,-0.056945845,1.0,0.0,-0.040450078,-0.10890864,-0.10890864,0.999654,-0.026304591,0.22769111,0.0,0.0
-0.040450078,-0.10890864,-0.10890864,0.999654,-0.026304591,0.22769111,0.0,1.0,-0.044806425,-0.011164716,-0.011164716,0.99976337,-0.021752087,-0.073172726,0.0,0.0
-0.044806425,-0.011164716,-0.011164716,0.99976337,-0.021752087,-0.073172726,0.0,1.0,-0.045253012,0.08654876,0.08654876,0.99973047,-0.023215173,-0.3726389,0.0,0.0
-0.045253012,0.08654876,0.08654876,0.99973047,-0.023215173,-0.3726389,1.0,0.0,-0.041791063,-0.010843522,-0.010843522,0.9995297,-0.030665228,-0.087366074,0.0,0.0
-0.041791063,-0.010843522,-0.010843522,0.9995297,-0.030665228,-0.087366074,1.0,0.0,-0.042224802,-0.108178124,-0.108178124,0.9994746,-0.03241168,0.19548483,0.0,0.0
-0.042224802,-0.108178124,-0.108178124,0.9994746,-0.03241168,0.19548483,1.0,0.0,-0.046551928,-0.20549993,-0.20549993,0.9995937,-0.0285038,0.47776783,0.0,0.0
-0.046551928,-0.20549993,-0.20549993,0.9995937,-0.0285038,0.47776783,0.0,1.0,-0.054771926,-0.10774363,-0.10774363,0.9998204,-0.01895117,0.17623797,0.0,0.0
-0.054771926,-0.10774363,-0.10774363,0.9998204,-0.01895117,0.17623797,1.0,0.0,-0.05908167,-0.20516646,-0.20516646,0.99988097,-0.015426934,0.46288234,0.0,0.0
-0.05908167,-0.20516646,-0.20516646,0.99988097,-0.015426934,0.46288234,0.0,1.0,-0.06728833,-0.10749819,-0.10749819,0.999981,-0.0061698593,0.16537687,0.0,0.0
-0.06728833,-0.10749819,-0.10749819,0.999981,-0.0061698593,0.16537687,1.0,0.0,-0.071588255,-0.20501474,-0.20501474,0.9999959,-0.0028623573,0.456107,0.0,0.0
-0.071588255,-0.20501474,-0.20501474,0.9999959,-0.0028623573,0.456107,0.0,1.0,-0.07978885,-0.10743359,-0.10743359,0.9999804,0.0062597375,0.16252321,0.0,0.0
-0.07978885,-0.10743359,-0.10743359,0.9999804,0.0062597375,0.16252321,0.0,1.0,-0.08408619,-0.009917695,-0.009917695,0.99995476,0.009510099,-0.12817837,0.0,0.0
-0.08408619,-0.009917695,-0.009917695,0.99995476,0.009510099,-0.12817837,0.0,1.0,-0.0844829,0.08757452,0.08757452,0.99997586,0.006946619,-0.41784582,0.0,0.0
-0.0844829,0.08757452,0.08757452,0.99997586,0.006946619,-0.41784582,1.0,0.0,-0.08097992,-0.0100353295,-0.0100353295,0.999999,-0.0014102408,-0.122981034,0.0,0.0
